structure_code,temperature_k,source,temperature_column,temperature_remark,line_number
ZOBVET,100.0,temperature_column,100.0,,969
ZOBWAQ,100.0,temperature_column,100.0,,970
ZOGPUI,250.0,temperature_column,250.0,,971
ZOKLIW,123.0,temperature_column,123.0,,972
ZOLCOU,100.0,temperature_column,100.0,,973
ZONXEH,123.0,temperature_column,123.0,,974
ZOQKIB,200.0,temperature_column,200.0,,975
ZOQYAF,153.0,temperature_column,153.0,,976
ZOYMUX,293.0,temperature_column,293.0,,977
ZUCBEH,120.0,temperature_column,120.0,,978
ZUCHEK,295.0,temperature_column,295.0,,979
ZUNRAE,123.0,temperature_column,123.0,,980
ZUSVOA,293.0,temperature_column,293.0,,981
ZUTCEW,295.0,temperature_column,295.0,,982
ZUVREN,193.0,temperature_column,193.0,,983
ZUXQEQ,93.0,temperature_column,93.0,,984
ZUZKIQ,123.0,temperature_column,123.0,,985
